time,cooler,fan
1531237661.2460685,1.0,0.0
1531237723.8219163,1.0,0.0
1531237785.2299547,1.0,0.0
1531237845.9588811,1.0,0.0
1531237906.8320956,1.0,1.0
1531237968.0627515,1.0,1.0
1531238029.0656884,1.0,1.0
1531238089.8951313,1.0,1.0
1531238150.6158085,1.0,1.0
1531238211.643691,1.0,1.0
1531238272.3683054,1.0,1.0
1531238333.704603,1.0,1.0
1531238395.0874796,1.0,1.0
1531238455.6613054,1.0,1.0
1531238516.3839705,1.0,1.0
1531238577.1066358,1.0,1.0
1531238637.9482968,1.0,1.0
1531238698.961018,1.0,1.0
1531238761.0207286,1.0,1.0
1531238821.788678,1.0,1.0
1531238882.701056,1.0,1.0
1531238944.0061266,1.0,1.0
1531239004.9933627,1.0,1.0
1531239066.6872838,1.0,1.0
1531239127.503308,1.0,1.0
1531239188.3953865,1.0,1.0
1531239249.257097,1.0,1.0
1531239309.9774995,1.0,1.0
1531239370.699176,1.0,1.0
1531239431.4421046,1.0,1.0
1531239492.7613008,1.0,1.0
1531239553.5211961,1.0,1.0
1531239614.4902608,1.0,1.0
1531239679.0298805,1.0,0.0
1531239740.0493822,1.0,0.0
1531239800.7759204,1.0,0.0
1531239861.501023,1.0,0.0
1531239922.6298282,1.0,0.0
1531239983.3742018,1.0,0.0
1531240043.7701385,1.0,0.0
1531240104.4924095,1.0,0.0
1531240165.2190952,1.0,0.0
1531240225.9348426,1.0,0.0
1531240286.6602635,1.0,0.0
1531240347.3837702,1.0,0.0
1531240408.1048071,1.0,0.0
1531240468.8283017,1.0,0.0
1531240529.5509346,1.0,0.0
1531240590.2888732,1.0,0.0
1531240651.303504,1.0,0.0
1531240712.0233593,1.0,0.0
1531240772.7440248,1.0,0.0
1531240833.8813903,1.0,0.0
1531240895.0124185,1.0,0.0
1531240955.7351727,1.0,0.0
1531241016.4597435,1.0,0.0
1531241077.1837733,1.0,0.0
1531241137.9033885,1.0,0.0
1531241198.6244984,1.0,0.0
1531241259.3478427,1.0,0.0
1531241319.522206,1.0,0.0
1531241379.6981044,1.0,0.0
1531241440.3904855,1.0,0.0
1531241501.111464,1.0,0.0
1531241561.8370085,1.0,0.0
1531241622.55716,1.0,0.0
1531241683.2827687,1.0,0.0
1531241744.0117755,1.0,0.0
1531241804.7259824,1.0,0.0
1531241865.4617198,1.0,0.0
1531241926.4791207,1.0,0.0
1531241987.2025163,1.0,0.0
1531242047.5195522,1.0,0.0
1531242107.6840205,1.0,0.0
1531242167.8497715,1.0,0.0
1531242228.8639915,1.0,0.0
1531242290.0926373,1.0,0.0
1531242350.8218331,1.0,0.0
1531242411.5446534,1.0,0.0
1531242472.2639296,1.0,0.0
1531242532.4043367,1.0,0.0
1531242593.1987572,1.0,0.0
1531242653.615422,1.0,1.0
1531242714.0333555,1.0,1.0
1531242774.7539613,1.0,1.0
1531242835.065391,1.0,1.0
